step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
55,3.19402,0.321252,-0.00180786,0.333619,6351.69,0.0375977,0.8961641192436218,1.0,0.0,1,3.1911276114754816,0.0,0.0,-0.40495240688323975,-1.0,0.0,2.0696418894105095,
56,3.91339,0.303751,-0.0031082,0.333924,6351.71,0.0576172,-0.7832432985305786,1.0,0.0,1,3.907289306959939,0.0,0.0,-1.6794074177742004,-1.0,0.0,2.403467081627679,
57,4.70251,0.139388,-0.00385016,0.334148,6351.73,0.081543,-0.25952473282814026,0.8494704961776733,0.0,1,4.693422460084015,0.0,0.0,-0.5237185657024384,-1.0,0.0,3.536306890373284,
58,5.53896,-0.101162,-0.00361555,0.334169,6351.76,0.110352,-0.956352949142456,1.0,0.0,1,5.528910625239724,0.0,0.0,-0.6968282163143158,-1.0,0.0,4.319862160345429,
59,6.38337,-0.399204,-0.00200957,0.333935,6351.8,0.144043,-0.7638296484947205,1.0,0.0,1,6.376943200685837,0.0,0.0,-0.1925233006477356,-1.0,0.0,5.319186210491516,
60,7.3928,-0.429967,0.000179593,0.333487,6351.84,0.186035,-0.3795483708381653,1.0,0.0,1,7.392136033215993,0.0,0.0,-0.3842812776565552,-1.0,0.0,6.276851649919027,
61,8.16887,-0.18341,0.00127489,0.333172,6351.88,0.22998,-0.012704148888587952,0.9321915507316589,0.0,1,8.16365615746032,0.0,0.0,-0.36684422194957733,-1.0,0.0,7.053602890875446,
62,8.9721,-0.339017,0.00240738,0.332968,6351.93,0.277344,-0.7173744440078735,1.0,0.0,1,8.961274384588888,0.0,0.0,-0.7046702951192856,-1.0,0.0,7.749873296053103,
63,9.67459,-0.806667,0.00560791,0.332399,6351.98,0.32959,-0.9687193632125854,1.0,0.0,1,9.64731090116072,0.0,0.0,-0.2513449192047119,-1.0,0.0,8.571907425399306,
64,10.3956,-1.1649,0.0108236,0.331371,6352.04,0.385254,-0.8245950937271118,1.0,0.0,1,10.338733272398837,0.0,0.0,-0.14412426948547363,-1.0,0.0,9.295495991553196,
65,11.2486,-1.00733,0.0156048,0.330191,6352.1,0.445313,0.1440102756023407,1.0,0.0,1,11.159467941018718,0.0,0.0,-0.9686053693294525,-1.0,0.0,9.868886330219883,
66,12.1191,-0.588825,0.0179938,0.329286,6352.16,0.510742,0.37798988819122314,1.0,0.0,1,12.00810966390724,0.0,0.0,-0.23397961258888245,-1.0,0.0,10.937915780130576,
67,12.9278,-0.0179066,0.0179036,0.328798,6352.23,0.580566,0.8135653734207153,1.0,0.0,1,12.810007226359685,0.0,0.0,-0.4355754852294922,-1.0,0.0,11.679334580790838,
68,13.7468,-0.0248565,0.0173529,0.328645,6352.31,0.654785,-0.08349161595106125,1.0,0.0,1,13.62546287520492,0.0,0.0,-0.8970569893717766,-1.0,0.0,12.356345778393388,
69,14.0486,0.0955879,0.0172871,0.328422,6352.38,0.732422,0.12538911402225494,1.0,0.19821864366531372,1,13.925077155056067,0.0,0.0,-0.2088807299733162,-1.0,0.0,12.862412936064073,
70,14.7187,0.530625,0.0149749,0.328493,6352.46,0.812012,0.6169893741607666,1.0,0.0,1,14.606848302570809,0.0,0.0,-0.49160026013851166,-1.0,0.0,13.459368224529255,
71,15.413,1.08134,0.00936491,0.329083,6352.55,0.895996,0.6631441116333008,1.0,0.0,1,15.34015450902054,0.0,0.0,-0.04615473747253418,-1.0,0.0,14.326308087778779,
72,16.0729,1.02811,0.00373966,0.330151,6352.64,0.992676,0.3408493995666504,0.5672293901443481,0.0,1,16.04273408936348,0.0,0.0,-0.3222947120666504,-1.0,0.0,14.946045675743486,
73,16.8622,0.642211,0.00143367,0.330853,6352.74,1.08447,0.16160576045513153,1.0,0.0,1,16.850095259642277,0.0,0.0,-0.17924363911151886,-1.0,0.0,15.796322167908823,
