step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
72,1.56431,-0.0649427,-0.0107004,0.335878,6351.82,0.170898,-1.0,0.0,0.0,1,1.5558512335837549,0.0,0.0,-0.6713821291923523,-1.0,0.0,0.3544365948260493,
73,1.48759,-0.127303,-0.0101711,0.335776,6351.83,0.179688,0.5284924507141113,0.0,0.0,1,1.479947971235424,0.0,0.0,-1.5284924507141113,-1.0,0.0,0.021400236021190677,
74,1.55382,-0.0967605,-0.00971955,0.335674,6351.84,0.187988,-0.9196633100509644,0.0,0.0,1,1.5461955094626911,0.0,0.0,-1.4481557607650757,-1.0,0.0,0.11174878123316834,
75,1.48397,-0.129151,-0.00918215,0.335573,6351.85,0.196289,-0.7433728575706482,0.0,0.0,1,1.4770945204585033,0.0,0.0,-0.17629045248031616,-1.0,0.0,0.42420738471440855,
76,1.54409,-0.177225,-0.00848788,0.335471,6351.86,0.20459,0.49129778146743774,0.0,0.38460081815719604,1,1.5374814324110169,0.0,0.0,-1.234670639038086,-1.0,0.0,0.16708024069959104,
77,0.570432,-0.0238727,-0.0080983,0.33541,6351.86,0.210449,-0.8103493452072144,0.0,0.0,1,0.5681035554482856,0.0,0.0,-1.301647126674652,-1.0,0.0,-0.82239058255411,
78,0.539239,-0.0447113,-0.00783509,0.3354,6351.87,0.213867,-1.0,0.099127858877182,0.0,1,0.5371099770770384,0.0,0.0,-0.18965065479278564,-1.0,0.0,-0.5197852193607972,
79,0.691872,-0.0662947,-0.00741976,0.335318,6351.87,0.216797,-0.15224891901016235,0.0,0.0,1,0.6892862167844792,0.0,0.0,-0.8477510809898376,-1.0,0.0,-0.5650391075124721,
80,0.536142,-0.0665364,-0.00709027,0.335237,6351.87,0.220215,-0.541029691696167,1.0,0.0,1,0.5342278437663295,0.0,0.0,-0.38878077268600464,-1.0,0.0,-0.5824063880394719,
81,1.46873,-0.117723,-0.00666159,0.335145,6351.88,0.226074,0.9840927720069885,0.0,0.0,1,1.4638054090072192,0.0,0.0,-1.5251224637031555,-1.0,0.0,0.006268669896272616,
82,1.46881,-0.0475552,-0.00625199,0.335064,6351.89,0.234863,0.909447431564331,0.0,0.0,1,1.4641898313225188,0.0,0.0,-0.07464534044265747,-1.0,0.0,0.4417962291897215,
