step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,r_checkpoint,reward_total,terminal_reason
70,14.6526,1.08471,-0.0537527,0.349832,3599.23,0.782471,0.0,1.0,1.0,0.0,1,14.237818039780889,-0.025629741815999998,-0.5530222058296204,-0.0,-1.0,0.0,0.0,13.046281636216003,
71,15.3532,1.31154,-0.0592139,0.351697,3599.31,0.865479,0.0,-0.3058108687400818,1.0,0.0,1,14.871995674785815,-0.026998371902,-1.3058108687400818,-0.0,-1.0,0.0,0.0,13.45325404226179,
72,16.2419,1.21803,-0.0666707,0.354062,3599.41,0.961426,0.0,1.0,1.0,0.0,1,15.66478748762235,-0.028753197989,-1.3058108687400818,-0.0,-1.0,0.0,0.0,14.244291029011325,
73,17.0084,1.35649,-0.0726598,0.356276,3599.5,1.05347,0.0,-0.23132675886154175,1.0,0.0,1,16.3461523722984,-0.030298423592,-1.2313267588615417,-0.0,-1.0,0.0,0.0,14.946455921047935,
74,17.7921,1.31517,-0.0798476,0.358789,3599.6,1.14941,0.0,-0.08500063419342041,1.0,0.0,1,17.025838439597692,-0.03191804883450001,-0.14632612466812134,-0.0,-1.0,0.0,0.0,15.950022553362757,
75,18.5912,0.853733,-0.0837362,0.361168,3599.7,1.24976,0.0,0.7371959686279297,1.0,0.0,1,17.748590734144393,-0.033572732608000005,-0.8221966028213501,-0.0,-1.0,0.0,0.0,16.468359020689988,
76,19.295,0.810059,-0.0861858,0.363347,3599.8,1.35449,0.0,0.03193315863609314,1.0,0.0,1,18.392934273800414,-0.035053901825,-0.7052628099918365,-0.0,-1.0,0.0,0.0,17.146301528977865,
77,20.0012,0.676126,-0.0896352,0.365688,3599.91,1.46313,0.0,-0.701555073261261,1.0,0.0,1,19.025698365443578,-0.03657099412800001,-0.7334882318973541,-0.0,-1.0,0.0,0.0,17.769080901746374,
78,20.7473,0.154349,-0.0897182,0.367752,3600.02,1.57593,0.0,-0.6495309472084045,1.0,0.0,2,19.734397688422305,-0.038149305348,-0.052024126052856445,-0.0,-1.0,0.0,0.0,18.68064114525845,
79,20.954,-0.553276,-0.086551,0.369272,3600.14,1.69189,0.0,0.7357112169265747,1.0,0.0,2,19.969901876620675,-0.03868862744,-1.3852421641349792,-0.0,-1.0,0.0,0.0,18.51564059994018,
80,20.8728,-0.983549,-0.0814827,0.370097,3600.26,1.80786,0.0,1.0,1.0,0.0,2,19.954101228789174,-0.03862480330800001,-0.2642887830734253,-0.0,-1.0,0.0,0.0,18.836189790559146,
81,20.9022,-0.470727,-0.0789021,0.370957,3600.37,1.92383,0.0,-0.12167403101921082,1.0,0.0,2,20.01341159974733,-0.038769087027,-1.1216740310192108,-0.0,-1.0,0.0,0.0,18.638140303414566,
82,21.4128,-0.369061,-0.0781449,0.372178,3600.49,2.04102,0.0,0.9239476919174194,1.0,0.0,2,20.51165399127874,-0.039846865392000004,-1.0456217229366302,-0.0,-1.0,0.0,0.0,19.158120609005753,
83,22.0786,0.00393393,-0.078029,0.373554,3600.61,2.16187,0.0,0.4167599678039551,1.0,0.0,2,21.15090933194788,-0.041237746722,-0.5071877241134644,-0.0,-1.0,0.0,0.0,19.95751526799184,
84,22.5902,0.620484,-0.0813969,0.37551,3600.73,2.28564,0.0,0.3196312189102173,1.0,0.0,2,21.597034892308425,-0.04241423001,-0.09712874889373779,-0.0,-1.0,0.0,0.0,20.525482037630304,
85,23.0874,0.914703,-0.0860847,0.378026,3600.86,2.41187,0.0,0.3147074580192566,1.0,0.0,2,22.009398307269333,-0.043638187361999994,-0.004923760890960693,-0.0,-1.0,0.0,0.0,20.964282991640044,
86,23.6979,1.00635,-0.090781,0.380834,3600.99,2.54077,0.0,-0.2074037492275238,1.0,0.0,2,22.526134909887034,-0.04512483024300001,-0.5221112072467804,-0.0,-1.0,0.0,0.0,21.32437671747,
87,24.3828,0.66795,-0.0941475,0.383694,3601.12,2.67358,0.0,0.8746039867401123,1.0,0.0,2,23.128723290353403,-0.046777670316,-1.082007735967636,-0.0,-1.0,0.0,0.0,21.75734329924711,
88,25.0332,0.625791,-0.0958904,0.386382,3601.26,2.81006,0.0,0.19784776866436005,1.0,0.0,2,23.719815121114554,-0.048361889412,-0.6767562180757523,-0.0,-1.0,0.0,0.0,22.46842636627983,
89,25.6749,0.699165,-0.0992673,0.389304,3601.4,2.9502,0.0,-0.8384212851524353,1.0,0.0,2,24.27625650918046,-0.049976706348,-1.0362690538167953,-0.0,-1.0,0.0,0.0,22.91539908668742,
90,26.3395,0.350339,-0.101106,0.392226,3601.54,3.09375,0.0,0.29637411236763,1.0,0.0,2,24.875714579586067,-0.051655183635,-1.1347953975200653,-0.0,-1.0,0.0,0.0,23.483620776695048,
91,26.9837,0.280857,-0.101174,0.394928,3601.69,3.24121,0.0,0.7569724321365356,1.0,0.0,2,25.483015932282985,-0.053283093368,-0.46059831976890564,-0.0,-1.0,0.0,0.0,24.29155334298431,
92,27.5792,0.72884,-0.104567,0.397987,3601.84,3.39185,0.0,0.20564420521259308,1.0,0.0,2,25.989247513409214,-0.05488081535199999,-0.5513282269239426,-0.0,-1.0,0.0,0.0,24.768968229980032,
